iter	RMSE
150	3583.30341
151	3579.739925
152	3577.751992
153	3572.047457
154	3566.343877
155	3559.380377
156	3551.510617
157	3544.585999
158	3539.029325
159	3534.516378
160	3531.313959
161	3528.350431
162	3524.896109
163	3522.750615
164	3519.327753
165	3513.763035
166	3506.728793
167	3503.690428
168	3498.95631
169	3495.641531
170	3491.065507
171	3483.864558
172	3476.704704
173	3468.68501
174	3462.896587
175	3458.482886
176	3456.636573
177	3451.442442
178	3440.638003
179	3436.749026
180	3433.403449
181	3424.009539
182	3422.235949
183	3418.227159
184	3415.931115
185	3413.393979
186	3404.730992
187	3401.977502
188	3395.984457
189	3394.025568
190	3386.640271
191	3380.521433
192	3373.457768
193	3370.554834
194	3365.8232
195	3356.706138
196	3349.728877
197	3345.088353
198	3342.895495
199	3339.307924
200	3336.072372
201	3333.018777
202	3330.258345
203	3324.925097
204	3321.427343
205	3316.956117
206	3315.982243
207	3313.001183
208	3312.385542
209	3310.306813
210	3306.899199
211	3304.483834
212	3302.552772
213	3300.981023
214	3293.359445
215	3291.835056
216	3285.988785
217	3280.650156
218	3278.577287
219	3271.257368
220	3266.056924
221	3262.888644
222	3256.138211
223	3254.185689
224	3246.843579
225	3243.150353
226	3239.386192
227	3238.254509
228	3235.32739
229	3232.606199
230	3230.978623
231	3227.748257
232	3222.375597
233	3221.456689
234	3215.208247
235	3214.390803
236	3208.301131
237	3203.636812
238	3197.184185
239	3195.561115
240	3189.887049
241	3186.252712
242	3184.660039
243	3179.094333
244	3171.695921
245	3165.659053
246	3157.779198
247	3152.917412
248	3151.647347
249	3150.273463
250	3148.462899
251	3143.333172
252	3138.221068
253	3137.576648
254	3133.51464
255	3132.686964
256	3132.192629
257	3130.390545
258	3126.917871
259	3125.12489
260	3123.650297
261	3121.844326
262	3119.467689
263	3117.404067
264	3116.333575
265	3115.118615
266	3114.852466
267	3111.721367
268	3109.496816
269	3106.420494
270	3103.37095
271	3097.203777
272	3089.194372
273	3088.174921
274	3086.684712
275	3084.727581
276	3080.218859
277	3077.025024
278	3075.580629
279	3072.843452
280	3070.011579
281	3066.231061
282	3063.153966
283	3061.803124
284	3060.007721
285	3052.811293
286	3051.827634
287	3047.152626
288	3043.491757
289	3038.290707
290	3034.817699
291	3028.774495
292	3023.689557
293	3018.901378
294	3017.143236
295	3016.439748
296	3014.950774
297	3011.650894
298	3005.756284
299	3000.605452
300	2999.562635
301	2998.250592
302	2994.026924
303	2991.270603
304	2990.014692
305	2987.188996
306	2986.129844
307	2983.810973
308	2981.705944
309	2980.654289
310	2979.47387
311	2971.098885
312	2970.204319
313	2968.311344
314	2965.266935
315	2964.406001
316	2962.065779
317	2961.04637
318	2957.04673
319	2955.952075
320	2951.201233
321	2944.9753
322	2944.079087
323	2942.402132
324	2939.846415
325	2935.86908
326	2929.893845
327	2924.861072
328	2922.712622
329	2917.527708
330	2916.387601
331	2912.709345
332	2911.452153
333	2911.195337
334	2909.350574
335	2905.014756
336	2899.502192
337	2896.989776
338	2895.100256
339	2892.164059
340	2887.268412
341	2885.723116
342	2878.493414
343	2877.38826
344	2874.442598
345	2870.310254
346	2868.933953
347	2867.214647
348	2864.746503
349	2862.695974
350	2860.780885
351	2858.11864
352	2853.178459
353	2849.161014
354	2847.204946
355	2845.643857
356	2840.556914
357	2836.377501
358	2836.197728
359	2835.51694
360	2831.015156
361	2825.923034
362	2822.475164
363	2818.869009
364	2818.036377
365	2812.762145
366	2807.978618
367	2806.95756
368	2803.726813
369	2801.163617
370	2796.52276
371	2791.137921
372	2787.06231
373	2784.816319
374	2777.335178
375	2775.740815
376	2771.556213
377	2768.669352
378	2765.824633
379	2761.314298
380	2759.804284
381	2758.1718
382	2754.650605
383	2751.101366
384	2745.5347
385	2743.000876
386	2736.297546
387	2734.637674
388	2730.742708
389	2729.355598
390	2722.024229
391	2717.67317
392	2716.431753
393	2715.182502
394	2713.233592
395	2709.749511
396	2708.128247
397	2705.517511
398	2703.508986
399	2699.304259
400	2697.154994
401	2695.964274
402	2694.132551
403	2692.670991
404	2687.028964
405	2685.939858
406	2684.849814
407	2680.752328
408	2676.975351
409	2672.764286
410	2670.646403
411	2668.023981
412	2667.071433
413	2664.530695
414	2663.819465
415	2660.072986
416	2657.723899
417	2655.767975
418	2653.402225
419	2652.114871
420	2650.873349
421	2650.673297
422	2647.821793
423	2643.155529
424	2641.417968
425	2639.953138
426	2637.323016
427	2635.495365
428	2634.560019
429	2632.516264
430	2628.384487
431	2627.673699
432	2624.728845
433	2622.421791
434	2618.866808
435	2617.891234
436	2616.489326
437	2616.029613
438	2613.836542
439	2610.698335
440	2607.170743
441	2605.196175
442	2603.597031
443	2602.496259
444	2599.541984
445	2598.508328
446	2598.366641
447	2591.667672
448	2590.010062
449	2589.537913
450	2581.954254
451	2581.680483
452	2578.250143
453	2575.374814
454	2574.038454
455	2573.061668
456	2572.515241
457	2571.396245
458	2569.573025
459	2568.598571
460	2567.443408
461	2565.249173
462	2562.791608
463	2560.785809
464	2557.356095
465	2554.829962
466	2554.102701
467	2552.74593
468	2550.276173
469	2548.637162
470	2548.112329
471	2544.117475
472	2540.309418
473	2537.682173
474	2535.673452
475	2532.480108
476	2531.378733
477	2529.489111
478	2527.090101
479	2524.913999
480	2524.008745
481	2523.484348
482	2522.683121
483	2516.846654
484	2514.813724
485	2511.885891
486	2509.298296
487	2507.97259
488	2507.531326
489	2504.774454
490	2503.13799
491	2501.271357
492	2499.088482
493	2496.901388
494	2496.212967
495	2494.281003
496	2491.391556
497	2489.684698
498	2488.734751
499	2487.075858
